"RecordNumber"	"StationName"	"Date"	"Survey"	"Replicate"	"Tide"	"Tide Height"	"SalinityZone"	"Temp(C)StartTop"	"Conductivity(uS/cm)StartTop"	"Salinity(ppt)StartTop"	"DOSat(Percent)StartTop"	"DOSat(mg/L)StartTop"	"Chl(ug/L)StartTop"	"Chl(RFU)StartTop"	"Temp(C)StartBottom"	"Conductivity(uS/cm)StartBottom"	"Salinity(ppt)StartBottom"	"DOSat(Percent)StartBottom"	"DOSat(mg/L)StartBottom"	"Chl(ug/L)StartBottom"	"Chl(RFU)StartBottom"	"Temp(C)EndTop"	"Conductivity(uS/cm)EndTop"	"Salinity(ppt)EndTop"	"DOSat(Percent)EndTop"	"DOSat(mg/L)EndTop"	"Chl(ug/L)EndTop"	"Chl(RFU)EndTop"	"Temp(C)EndBottom"	"Conductivity(uS/cm)EndBottom"	"Salinity(ppt)EndBottom"	"DOSat(Percent)EndBottom"	"DOSat(mg/L)EndBottom"	"Chl(ug/L)EndBottom"	"Chl(RFU)EndBottom"	"StartSecchi(cm)"	"EndSecchi(cm)"	"StartNTU"	"EndNTU"	"StartpH"	"EndpH"	"Comments"	"WQStartFile"	"WQEndFile"
1593	"SB-ALV1"	8/6/2016 0:00:00		"1"	"Flooding"		"4: >10"			29.46																											29.46		152.00		7.54	"No additional WQ found"		
1594	"SB-UCOY 2"	8/7/2016 0:00:00		"1"	"Low"		"4: >10"								20.43	26621.00	16.34	42.10	3.45	7.10	1.70																40.00		18.10		7.46			
1595	"SB-UCOY 1"	8/7/2016 0:00:00		"1"	"Flooding"		"4: >10"	21.14	26091.00	15.98	46.40	3.76	6.90	1.60																							46.00		17.70		7.50			
1596	"SB-ART3"	8/7/2016 0:00:00		"1"	"Flooding"		"4: >10"	20.97	26817.00	16.47	43.10	3.49	6.80	1.60																							34.00		68.30		7.47			
1597	"SB-A19.4"	8/7/2016 0:00:00		"1"	"Flooding"		"4: >10"	21.06	30920.00	19.25	49.20	3.92	6.90	1.60																							26.00		49.40		7.50			
1598	"NB-530"	8/9/2016 0:00:00	"8"	"1"	"High"		"4: >10"	20.04	42934.00	27.68	56.90	4.39	7.30	1.70								20.48	43666.00	28.20	60.10	4.59	7.40	1.80								58.00		35.70		7.35		"Sonde #1, Hach #1"		
1599	"NB-530"	8/9/2016 0:00:00		"2"	"High"		"4: >10"	20.48	43666.00	28.20	60.10	4.59	7.40	1.80								19.85	43577.00	28.14	32.40	2.50	6.90	1.60								55.00	64.00	30.50	22.70	7.33	7.27	"River otter in side channel"		
1600	"NB-670"	8/9/2016 0:00:00		"1"	"Ebbing"		"4: >10"	19.53	39550.00	25.27	90.80	7.18	11.80	2.80								19.49	39694.00	25.38	87.60	6.93	9.30	2.20								15.00	16.00	238.00	191.00	7.61	7.59			
1601	"NB-660"	8/9/2016 0:00:00		"1"	"Ebbing"		"4: >10"	19.49	39694.00	25.38	87.60	6.93	9.30	2.20								19.49	39640.00	25.34	86.90	6.87	8.90	2.10								16.00	18.00	191.00	201.00	7.61	7.58			
1602	"NB-273"	8/10/2016 0:00:00		"1"	"Flooding"		"4: >10"	18.38	32949.00	20.67	86.90	7.22	6.50	1.50								18.25	33024.00	20.72	86.80	7.23	9.80	2.30								47.00	48.00	34.30	20.40	7.49	7.47			
1603	"NB-271"	8/10/2016 0:00:00		"1"	"Flooding"		"4: >10"	18.38	32949.00	20.67	86.90	7.22	6.50	1.50								18.21	32332.00	20.24	93.80	7.84	5.20	1.20								48.00	52.00	20.40	21.00	7.47	7.50			
1604	"NB-170"	8/10/2016 0:00:00		"1"	"Ebbing"		"4: >10"	21.01	28960.00	17.92	96.10	7.71	41.30	9.80	20.70	29478.00	18.27	85.60	6.90	36.40	8.60	21.10	28923.00	17.89			43.70	10.40	20.94	29101.00	18.01	84.20	6.76	38.20	9.10	100.00	94.00	10.80	16.00	7.55	7.51	"700 ml total volume Mysid net, 175 ml sub sample. Many comb jellies."		
1605	"NB-160"	8/10/2016 0:00:00		"1"	"Ebbing"		"4: >10"	21.10	28923.00	17.89			43.70	10.40	20.94	29101.00	18.01	84.20	6.76	38.20	9.10	21.31	28425.00	17.55	100.60	8.04	44.40	10.50	20.99	28981.00	17.93	91.80	7.37	40.00	9.50	94.00	106.00	16.00	11.40	7.51	7.57			
1606	"NB-1114"	8/11/2016 0:00:00		"1"	"Flooding"	"+3.6"	"4: >10"	17.27	37662.00	23.95	96.80	8.05	65.10	15.40																						14.00	73.00	311.00	112.00	7.58	7.58	"CB net not attached to sled (broken mounting bolt)"		
1607	"NB-1119"	8/11/2016 0:00:00		"1"	"Flooding"	"+3.8"	"4: >10"	17.29	36960.00	23.45	99.00	8.26	57.90	13.70								17.70	32896.00	20.63	97.60	8.21	30.20	7.20	17.36	35294.00	22.29	95.30	7.99	36.50	8.70	19.00	74.00	205.00	45.40	7.60	7.55	"No CB. Mounting broken."		
1608	"NB-1185"	8/11/2016 0:00:00		"1"	"Ebbing"	"+2.8"	"4: >10"	17.80	32126.00	20.10	101.60	8.57	31.80	7.50																						85.00	101.00	21.80	16.10	7.65	7.65			
1609	"NB-1185"	8/11/2016 0:00:00		"2"	"Ebbing"	"+2.7"	"4: >10"	17.97	31333.00	19.55	104.40	8.79	30.00	7.10																						101.00	83.00	16.10	11.60	7.65	7.64			
1610	"NB-710"	8/12/2016 0:00:00		"1"	"Flooding"		"4: >10"	20.19	42801.00	27.59	71.90	5.54	48.40	11.50								22.10	40535.00	27.70	74.20	5.50										53.00	63.00	29.00	45.40	7.40	7.42	"YSI: 230 #2 for 2nd reading.  Sonde down."		
1611	"NB-720"	8/12/2016 0:00:00		"1"	"Flooding"		"4: >10"	22.10	40535.00	27.70	74.20	5.50										22.30	40876.00	27.80	84.40	6.33										63.00	53.00	45.40	42.10	7.42	7.40	"YSI for WQ.  No CB"		
1612	"NB-900"	8/12/2016 0:00:00		"1"	"Ebbing"		"4: >10"	21.40	38702.00	26.80	98.40	7.42										21.60	39447.00	27.10	93.80	7.18										68.00	77.00	16.40	16.40	7.57	7.56	"No CB. WQ with YSI. Near shore trawl"		
1613	"NB-890"	8/12/2016 0:00:00		"1"	"Ebbing"		"4: >10"	21.60	39447.00	27.10	93.80	7.18										21.80	40143.00	27.60	103.10	7.67			21.40	39675.00	27.40	92.10	6.98			77.00	73.00	16.40	12.30	7.56	7.64	"No CB.  WQ with YSI"		
1614	"SB-LSB1"	9/3/2016 0:00:00		"1"	"Flooding"		"4: >10"			32.90																											30.00					"Towed @~30' depth- No bottom sample. Only had hand-held YSI on this trip.  No NTU or pH meter on board. NO WQ RECORDED ON DATA SHEET FROM YSI"		
1615	"SB-A21.4"	9/3/2016 0:00:00		"1"	"High"		"4: >10"			28.90																											22.00					"No additional information on data sheet from YSI.  No NTU or pH meter on boat"		
1616	"SB-COY3"	9/3/2016 0:00:00		"1"	"Ebbing"		"4: >10"			30.80																											27.00					"WQ with YSI. No NTU or pH meter on board."		
1617	"SB-ALV3"	9/3/2016 0:00:00		"1"	"Ebbing"		"4: >10"			29.10																											30.00					"WQ with YSI.  No additional WQ found on data sheet.  Bat Ray pulled a fair amt. of material from Mysid net upon exit"		
1618	"SB-UCOY 1"	9/4/2016 0:00:00		"1"	"High"		"4: >10"			18.60																											30.00					"WQ with YSI. No additional WQ found on data sheet.  No pH meter or NTU on board"		
1619	"SB-A19.4"	9/4/2016 0:00:00		"1"	"High"		"4: >10"			25.50																											16.00					"WQ with YSI.  No additional WQ found on data sheet.  No pH meter or NTU on board"		
1620	"SB-COY1"	9/4/2016 0:00:00		"1"	"High"		"4: >10"			29.50																											17.00					"WQ with YSI. No additional WQ found on data sheet.  No NTU or pH on boat."		
1621	"SB-ART3"	9/4/2016 0:00:00		"1"	"Ebbing"		"4: >10"			24.00																											33.00					"WQ with YSI.  No additional WQ found on data sheet.  No NTU or pH on boat."		
1622	"NB-720"	9/7/2016 0:00:00		"1"	"High"	"+4.7"	"4: >10"	21.50	44600.00	31.10	71.50	5.10										21.60	44685.00	31.20	70.80	5.15										68.00	62.00	18.10	15.30	7.62	7.59	"WQ with YSI.  Distance 1521"		
1623	"NB-710"	9/7/2016 0:00:00		"1"	"High"	"+4.7"	"4: >10"	21.00	44685.00	31.20	70.80	5.15										21.10	43553.00	30.70	66.20	4.88										62.00	74.00	15.30	14.10	7.59	7.55	"WQ with YSI.  Distance 1801"		
1624	"NB-770"	9/7/2016 0:00:00		"1"	"Flooding"		"4: >10"	22.50	46443.00	31.90	94.20	6.80																	22.50	46443.00	31.90	94.20	6.80			91.00	86.00	8.81	11.90	7.60	7.57	"WQ from YSI."		
1625	"NB-760"	9/7/2016 0:00:00		"1"	"Flooding"		"4: >10"	21.80	45811.00	31.90	87.90	6.44										23.00	45361.00	31.60	73.10	5.40										86.00	58.00	11.90	12.30	7.57	7.56	"WQ with YSI"		
1626	"NB-542"	9/8/2016 0:00:00		"1"	"Flooding"		"4: >10"	21.20	43860.00	30.80	27.00	2.01										21.50	43460.00	30.30	47.80	3.52			21.50	43466.00	30.30	46.60	3.47			43.00	53.00	35.70	29.40	7.58	7.55	"YSI for WQ"		
1627	"NB-540"	9/8/2016 0:00:00		"1"	"High"		"4: >10"	21.50	43460.00	30.30	47.80	3.52			21.50	43466.00	30.30	46.60	3.47			21.60	43580.00	30.30	51.00	3.78										53.00		29.40	26.60	7.55	7.53	"WQ with YSI"		
1628	"NB-540"	9/8/2016 0:00:00		"2"	"Ebbing"		"4: >10"	21.80	43891.00	30.30	48.00	3.58										22.10	44315.00	30.50	44.00	3.12										49.00	56.00	21.60	25.30	7.43	7.40	"WQ with YSI"		
1629	"NB-540"	9/8/2016 0:00:00		"3"	"Ebbing"		"4: >10"	22.10	44315.00	30.50	44.00	3.12										22.00	43899.00	30.40	59.20	4.60										56.00	62.00	25.30	25.30	7.40	7.42	"WQ with YSI"		
1630	"NB-252"	9/9/2016 0:00:00		"1"	"Flooding"		"4: >10"	20.43	86959.00	22.00	100.30	6.29			20.55	86959.00		84.70	5.30																	50.00		2.78		7.62		"WQ with YSI"		
1631	"NB-273"	9/9/2016 0:00:00		"1"	"Flooding"		"4: >10"	20.40	86724.00	21.90	82.80	5.20			20.40	86715.00	21.90	82.70	5.20			20.29	85700.00	21.70	88.30	5.54			20.33	85802.00	21.70	86.00	5.44			71.00		18.10		7.58	7.57	"WQ with YSI"		
1632	"NB-361"	9/9/2016 0:00:00		"1"	"Ebbing"		"4: >10"	19.61	82971.00	20.90	90.60	5.94										19.65	82975.00	20.90	91.10	5.91										79.00		15.70		7.64		"WQ with YSI"		
1633	"NB-240"	9/9/2016 0:00:00		"1"	"Ebbing"		"4: >10"	21.26	86309.00	21.90	87.00	5.31			20.73	86573.00	21.90	79.90	4.99			21.23	86117.00	21.30	83.60	5.19			21.00	86139.00	21.30	79.10	4.93			95.00	84.00	12.90	9.97	7.59		"WQ with YSI.  1 extra digit recorded for start bottom conductivity (866573).  Removed duplicate 6."		
1634	"NB-1119"	9/23/2016 0:00:00		"1"	"Ebbing"	"+4.6"	"4: >10"	18.00	35579.00	22.49	93.10	7.70	5.50	1.30	17.48	36412.00	23.07	91.40	7.61	6.90	1.60															60.00	42.00			7.70		"Lost CB net at 7 minute mark.  No CB sample."		
1635	"NB-1119"	9/23/2016 0:00:00		"2"	"Ebbing"	"+4.5"	"4: >10"	18.00	35579.00	22.49	93.10	7.70	5.50	1.30	17.48	36412.00	23.07	91.40	7.61	6.90	1.60	18.64	34969.00	22.06	95.80	7.85	3.00	0.70	18.64	34964.00	22.06	93.60	7.66	2.70	0.70	42.00	60.00				7.70	"No hach or pH meter on board. No CB sample."		
1636	"NB-1183"	9/23/2016 0:00:00		"1"	"Ebbing"		"4: >10"	18.79	39057.00	24.93	95.20	7.64	3.60	0.90	18.57	39462.00	25.22	93.70	7.54	3.40	0.80	18.77	38918.00	24.83	95.40	7.67	2.90	0.70	18.67	39041.00	24.92	94.40	7.60	3.30	0.80	108.00	98.00			7.68	7.72	"No Hach meter.  No CB net."		
1637	"NB-1184"	9/23/2016 0:00:00		"1"	"Ebbing"		"4: >10"	18.77	38918.00	24.83	95.40	7.67	2.90	0.70	18.67	39041.00	24.92	94.40	7.60	3.30	0.80	18.75	38913.00	24.83	94.70	7.62	4.20	1.00	18.70	38987.00	24.88	93.90	7.56	3.80	0.90	98.00	104.00			7.72	7.74	"No hach.  No CB net."		
1638	"NB-590"	10/3/2016 0:00:00		"1"	"Ebbing"	"+2.3"	"4: >10"	16.70	40085.00	25.65	77.50	6.46	8.00	1.90	16.71	40128.00	25.68	76.50	6.37	9.10	2.10															22.00		115.80		7.56		"Sonde for all including NTU.  No end recorded.  No difference.  Flowmeter run from side of boat (not mysid net) due to low number of flowmeters for the day."		
1639	"NB-580"	10/3/2016 0:00:00		"1"	"Ebbing"	"+2.1"	"4: >10"	16.83	40214.00	25.74	88.10	7.31	7.90	1.90	16.85	40246.00	25.77	80.40	6.67	8.20	1.90	16.72	40848.00	26.19	91.20	7.57	6.40	1.50								28.00		63.00		7.60		"Sonde for NTU.  Flowmeter run from side of boat not on net (short flowmeters for the day)"		
1640	"NB-650"	10/3/2016 0:00:00		"1"	"Flooding"	"+2.1"	"4: >10"	16.11	41210.00	46.45	81.00	6.81																								32.00		48.60		7.62		"Water transferred from OT in same location.  Mysid cod end became unattached at end and was not a good pull.  CB kept."		
1641	"NB-650"	10/3/2016 0:00:00		"2"	"Flooding"	"+2.4"	"4: >10"	16.11	41210.00	26.45	81.00	6.81																								32.00		48.60		7.62		"WQ transferred from OT"		
1642	"NB-1060"	10/5/2016 0:00:00		"1"	"Low"		"4: >10"	15.84	40288.00	25.79	89.60	7.55			15.84	40288.00	25.79	87.30	7.38			16.54	39334.00	25.13	92.80	7.78			16.00	40108.00	25.66	87.90	7.42			32.00	54.00	33.40	16.00	7.57	7.63	"Using sonde for NTU and pH from here forward unless otherwise noted."		
1643	"NB-1076"	10/5/2016 0:00:00		"1"	"Low"		"4: >10"	16.54	39334.00	25.16	92.80	7.78			16.00	40108.00	25.66	87.90	7.42			16.81	38922.00	24.83	93.60	7.79			16.80	38919.00	24.82	92.10	7.70			54.00	66.00	16.00	15.80	7.63	7.63			
1644	"NB-1107"	10/5/2016 0:00:00		"1"	"Low"		"4: >10"	17.01	39685.00	25.37	94.60	7.84										17.00	39735.00	25.41	95.10	7.87										55.00	68.00	12.00	13.50	7.67	7.65			
1645	"NB-1091"	10/5/2016 0:00:00		"1"	"Flooding"		"4: >10"	17.00	39735.00	25.41	95.10	7.87										17.02	39516.00	25.25	96.00	7.96										68.00		13.50	12.60	7.65	7.62			
1646	"SB-LSB1"	10/1/2016 0:00:00		"1"	"Flooding"	"+7.9"	"4: >10"															19.29	48022.00	31.36	88.40	6.77	8.90	2.10									18.00		95.60		7.74			
1647	"SB-A21.4"	10/1/2016 0:00:00		"1"	"High"		"4: >10"																	26.16													12.00		97.90		7.71	"No additional WQ found on Sonde data matching written salinity or time frame"		
1648	"SB-COY3"	10/1/2016 0:00:00		"1"	"Ebbing"		"4: >10"																	27.47													17.00		150.00		7.72	"No additional WQ found on Sonde data matching written salinity or time frame"		
1649	"SB-ALV3"	10/1/2016 0:00:00		"1"	"Ebbing"		"4: >10"																	28.50													22.00		101.00		7.79	"No additional WQ found on Sonde data matching written salinity or time frame"		
1650	"SB-A19.1"	10/2/2016 0:00:00		"1"	"High"		"4: >10"															18.95	38591.00	24.60	69.40	5.57	11.60	2.80									14.00		181.00		7.68			
1651	"SB-UCOY 2"	10/2/2016 0:00:00		"1"	"High"		"4: >10"																														17.00		114.00		7.67	"No additional WQ found on Sonde data matching written salinity or time frame"		
1652	"SB-COY1"	10/2/2016 0:00:00		"1"	"Ebbing"		"4: >10"																	28.36													19.00		92.50		7.75	"No additional WQ found on Sonde data matching written salinity or time frame"		
1653	"SB-ART3"	10/2/2016 0:00:00		"1"	"Ebbing"		"4: >10"																	22.69													27.00		49.50		7.71	"No additional WQ found on Sonde data matching written salinity or time frame"		
1654	"NB-210"	10/6/2016 0:00:00		"1"	"Flooding"	"+3.8"	"4: >10"	18.60	32619.00	20.43	76.10	6.22			18.07	32634.00	20.43	67.90	5.68			18.64	32859.00	20.60	79.70	6.51			18.23	32833.00	20.59	71.70	5.95			81.00		5.00	4.80	7.53	7.51			
1655	"NB-220"	10/6/2016 0:00:00		"1"	"Flooding"	"+4.0"	"4: >10"	18.64	32859.00	20.60	79.70	6.51			18.23	32833.00	20.59	71.70	5.95			18.48	33030.00	20.73	77.00	6.30			18.10	33053.00	20.74	74.10	6.17			81.00		5.00	5.80	7.53	7.00			
1656	"SB-LSB1"	11/5/2016 0:00:00		"1"	"Flooding"		"4: >10"															17.35	42868.00	27.64	87.80	7.13	5.10	1.20	17.70	44520.00	28.82	86.80	6.95	3.50	0.80		76.00		9.91		7.81			
1657	"SB-COY2"	11/5/2016 0:00:00		"1"	"Flooding"		"4: >10"																														30.00		44.60		7.81	"No WQ found matching this"		
1658	"SB-A21.4"	11/5/2016 0:00:00		"1"	"Flooding"																																25.00		44.60		7.80	"No WQ found matching this"		
1659	"SB-ALV3"	11/5/2016 0:00:00		"1"	"Flooding"		"4: >10"																														24.00		59.20		7.72	"No WQ found matching this"		
1660	"SB-COY1"	11/6/2016 0:00:00		"1"	"Low"		"4: >10"																						18.21	25144.00	15.37	46.00	3.96	5.70	1.40		42.00		16.00		7.68	"Assuming daylight saving time and that WQ was before tow. Found bottom only"		
1661	"SB-ART3"	11/6/2016 0:00:00		"1"	"Low"		"4: >10"																														51.00		16.90		7.76	"No WQ found matching"		
1662	"SB-UCOY 2"	11/6/2016 0:00:00		"1"	"Low"		"4: >10"																														40.00		20.70		7.68	"No WQ found matching"		
1663	"SB-A19.4"	11/6/2016 0:00:00		"1"	"Flooding"		"4: >10"															18.15	26034.00	15.96	52.40	4.49	5.30	1.30									43.00		23.40		7.68			
1664	"NB-341"	11/7/2016 0:00:00		"1"	"Ebbing"		"4: >10"	17.14	29262.00	18.14	88.90	7.68	4.30	1.00	17.11	29294.00	18.16	86.20	7.45	4.50	1.10								17.25	29312.00	18.18	88.10	7.60	5.60	1.30	65.00	70.00	13.10	12.20	7.60	7.61			
1665	"NB-361"	11/7/2016 0:00:00		"1"	"Ebbing"		"4: >10"	17.05	28621.00	17.71	97.30	8.44	28.30	6.70	17.06	28642.00	17.72	88.90	7.71	4.20	1.00								17.17	28529.00	17.64	87.80	7.60	11.30	2.70	64.00	62.00	15.90	13.60	7.63	7.60			
1666	"NB-270"	11/7/2016 0:00:00		"1"	"Ebbing"		"4: >10"	17.26	29025.00	17.98	87.50	7.55	6.40	1.50	17.19	29078.00	18.02	84.10	7.27	6.30	1.50	17.21	28779.00	17.81	89.40	7.73	6.90	1.60	17.16	28888.00	17.89	81.30	7.03	5.50	1.30	81.00	85.00	9.20	8.40	7.63	7.59			
1667	"NB-250"	11/7/2016 0:00:00		"1"	"Ebbing"		"4: >10"	17.32	25997.00	15.94	85.40	7.45	8.80	2.10	17.35	27793.00	17.15	82.00	7.10	6.20	1.50	17.42	25049.00	15.30			2.30	0.60	17.20	27523.00	16.96	80.00	6.95	7.20	1.70	99.00	92.00	6.30	5.90	7.52	7.54			
1668	"NB-870"	11/8/2016 0:00:00		"1"	"Ebbing"		"4: >10"	16.31	36407.00	23.06	80.60	6.87	5.50	1.30	16.21	36426.00	23.07	72.00	6.15	5.60	1.30	16.48	36360.00	23.03			10.50	2.50	16.41	36367.00	23.03	70.60	6.01	6.30	1.50		66.00	16.30	32.80	7.62				
1669	"NB-870"	11/8/2016 0:00:00		"1"	"Ebbing"		"4: >10"	16.48	36360.00	23.03			10.50	2.50	16.41	36367.00	23.03	70.60	6.01	6.30	1.50	16.83	35941.00	22.74	73.10	6.18	7.70	1.80	16.47	36195.00	22.91	68.40	5.82	6.00	1.40	66.00		19.50	15.20	7.62	7.63	"No GPS Recorded"		
1670	"NB-780"	11/8/2016 0:00:00		"1"	"Ebbing"		"4: >10"	17.02	27838.00	17.18	67.40	5.87	6.80	1.60	16.74	28459.00	17.60	60.00	5.24	6.50	1.60	17.18	27536.00	16.97	68.60	5.96	6.80	1.60	16.85	27735.00	17.11	61.20	5.35	7.10	1.70	88.00		7.40	7.10	7.66	7.62	"No GPS recorded"		
1671	"NB-770"	11/8/2016 0:00:00		"1"	"Ebbing"		"4: >10"	17.18	27536.00	16.97	68.60	5.96	6.80	1.60	16.85	27735.00	17.11	61.20	5.35	7.10	1.70	17.16	26665.00	16.39			4.10	1.00	16.74	27447.00	16.91	61.00	5.35	6.30	1.50			7.10	9.90	7.62	7.70	"No GPS recorded"		
1672	"NB-660"	11/9/2016 0:00:00		"1"	"Ebbing"		"4: >10"	15.56	35857.00	22.67			11.60	2.80	15.57	35818.00	22.65	87.20	7.56	11.80	2.80	15.49	35409.00	22.36	86.80	7.56	10.40	2.50								22.00	19.00	191.40	155.30	7.00	7.76			
1673	"NB-660"	11/9/2016 0:00:00		"2"	"Ebbing"	"+2.5"	"4: >10"	15.49	35409.00	22.36	86.80	7.56	10.40	2.50								15.60	34558.00	21.77	85.00	7.41	10.50	2.50								19.00	19.00	185.30	172.60	7.76	7.77			
1674	"NB-600"	11/9/2016 0:00:00		"1"	"Ebbing"	"+3.6"	"4: >10"	16.86	26759.00	16.45	69.50	6.10	7.40	1.80	16.77	26877.00	16.53	66.40	5.83	7.30	1.70	16.92	26741.00	16.44	70.80	6.21	6.80	1.60	16.85	26781.00	16.46	64.80	5.69	7.60	1.80	23.00	20.00	85.80	86.90	7.68	7.63			
1675	"NB-590"	11/9/2016 0:00:00		"1"	"Ebbing"		"4: >10"	16.92	26741.00	16.44	70.80	6.21	6.80	1.60	16.85	26781.00	16.46	64.80	5.69	7.60	1.80	17.04	26883.00	16.53	67.70	5.91	6.90	1.60	17.07	26951.00	16.58	64.70	5.65	15.00	3.60	20.00	15.00	86.90	78.40	7.63	7.66	"Got LONSME at NB-600 before this tow in the OT"		
1676	"Unknown"	11/10/2016 0:00:00		"1"	"Ebbing"	"+5.3"	"4: >10"	16.66	42229.00	27.18	91.20	7.53	2.00	0.50	16.53	43107.00	27.80	90.00	7.42	2.30	0.50	16.66	42094.00	27.08	91.10	7.52	1.70	0.40	16.37	44953.00	29.12	89.40	7.34	1.80	0.40	155.00	160.00	1.90	2.30	7.82	7.83	"NO STATION RECORDED.  See GPS"		
1677	"Unknown"	11/10/2016 0:00:00		"1"	"Ebbing"	"+5.1"	"4: >10"	16.66	42094.00	27.08	91.10	7.52	1.70	0.40	16.37	44953.00	29.12	89.40	7.34	1.80	0.40	16.93	40429.00	25.90	94.50	7.82	2.30	0.50	16.31	45263.00	29.35	88.60	7.27	1.20	0.30	160.00	128.00	2.30	4.30	7.83	7.83	"NO STATION RECORDED.  See GPS"		
1678	"NB-1182"	11/10/2016 0:00:00		"1"	"Ebbing"	"+4.7"	"4: >10"	17.06	39892.00	25.52	94.80	7.84	3.00	0.70								17.21	39948.00	25.56	96.10	7.93	4.00	1.00								115.00	100.00	4.50	7.60	7.83	7.81			
1679	"NB-1182"	11/10/2016 0:00:00		"2"	"Ebbing"	"+4.6"	"4: >10"	17.21	39948.00	25.56	96.10	7.93	4.00	1.00								17.12	39953.00	25.56	95.60	7.90	3.20	0.80								100.00	95.00	7.60	6.00	7.87	7.86			
1680	"NB-341"	3/2/2016 0:00:00	"1"	"1"	"Flooding"		"4: >10"	14.87	24138.00	14.69	105.10	9.71	1.40	0.30	14.85	26648.00	16.37	99.30	9.09	1.10	0.30	14.90	23886.00	14.53	99.30	9.18	1.60	0.40	14.90	24878.00	15.18	97.40	8.97	1.30	0.30	105.00	120.00	14.90	9.10	7.92	7.96	"Foggy, calm.  Trawled into NB-343.  Towed w/ current.  South Slough restoration pond barrow ditch ~ 5' at this tide height (tide 5.1)."	"NAP 3_2_16"	"NAP 3_2_16"
1681	"SB-LSB2"	12/3/2016 0:00:00		"1"	"Flooding"		"4: >10"						0.00	0.00						0.00	0.00			27.77			0.00	0.00						0.00	0.00		24.00		64.90			"Not stepped.  YSI 650 sonde not calibrated for pH.  No WQ file.  If it was on the handheld it wasn't uploaded and handheld was sent in for repairs."		
1682	"SB-A21.4"	12/3/2016 0:00:00		"1"	"Flooding"		"4: >10"						0.00	0.00						0.00	0.00			18.98			0.00	0.00						0.00	0.00		29.00		56.50			"Not stepped.  No WQ file.  If it was on the handheld it wasn't uploaded and handheld was sent in for repairs."		
1683	"SB-COY2"	12/3/2016 0:00:00		"1"	"Flooding"		"3: 7-9.99"						0.00	0.00						0.00	0.00			7.76			0.00	0.00						0.00	0.00		25.00		82.60			"Not stepped.  YSI 650 sonde not calibrated for pH.  No WQ file.  If it was on the handheld it wasn't uploaded and handheld was sent in for repairs."		
1684	"SB-ALV3"	12/3/2016 0:00:00		"1"	"High"		"4: >10"						0.00	0.00						0.00	0.00			24.95			0.00	0.00						0.00	0.00		33.00		29.70			"Not stepped.  YSI 650 sonde not calibrated for pH.  No WQ file.  If it was on the handheld it wasn't uploaded and handheld was sent in for repairs."		
1685	"SB-COY1"	12/4/2016 0:00:00		"1"	"Flooding"		"4: >10"						0.00	0.00						0.00	0.00	11.97	27935.00	17.20	72.40	7.01	0.00	0.00						0.00	0.00		35.00		22.40			"Not stepped.  YSI 650 sonde not calibrated for pH.  No WQ file.  If it was on the handheld it wasn't uploaded and handheld was sent in for repairs."		
1686	"SB-ART3"	12/4/2016 0:00:00		"1"	"Flooding"	"6.5"	"4: >10"						0.00	0.00						0.00	0.00	12.47	24731.00	15.07			0.00	0.00				70.70	6.86	0.00	0.00		40.00		23.20			"Not stepped.  YSI 650 sonde not calibrated for pH.  No WQ file.  If it was on the handheld it wasn't uploaded and handheld was sent in for repairs."		
1687	"SB-UCOY 1"	12/4/2016 0:00:00		"1"	"Flooding"	"6.7"	"4: >10"						0.00	0.00						0.00	0.00	12.10	26455.00	16.21	69.80	6.78	0.00	0.00						0.00	0.00		35.00		23.30			"Stepped with speed.  YSI 650 sonde not calibrated for pH.  No WQ file.  If it was on the handheld it wasn't uploaded and handheld was sent in for repairs."		
1688	"SB-A19.4"	12/4/2016 0:00:00		"1"	"Flooding"		"4: >10"						0.00	0.00						0.00	0.00	12.38	24045.00	14.61	67.70	6.60	0.00	0.00						0.00	0.00		36.00	23.90				"Stepped with speed.  YSI 650 sonde not calibrated for pH.  No WQ file.  If it was on the handheld it wasn't uploaded and handheld was sent in for repairs."		
1689	"NB-480"	12/6/2016 0:00:00		"1"	"Ebbing"		"4: >10"	12.33	32735.00	20.44	97.00	9.04	0.00	0.00	12.94	37272.00	23.62	91.90	8.35	0.00	0.00	12.63	33218.00	20.72	95.00	8.81	0.00	0.00	12.95	37889.00	24.05	92.10	8.36	0.00	0.00		46.00	20.30	28.90	7.81				
1690	"NB-1120"	12/6/2016 0:00:00		"1"	"Ebbing"		"4: >10"	12.63	33218.00	20.72	95.00	8.81	0.00	0.00	14.95	37889.00	24.05	92.10	8.36	0.00	0.00	11.89	34428.00	21.64	95.30	9.00	0.00	0.00	12.98	39136.00	24.95	93.20	8.37	0.00	0.00	46.00	60.00	28.90	11.80	8.01				
1691	"NB-1170"	12/6/2016 0:00:00		"1"	"Flooding"		"4: >10"	12.25	34528.00	21.71	95.00	8.88	0.00	0.00						0.00	0.00	12.19	34218.00	21.48	97.70	9.07	0.00	0.00						0.00	0.00	90.00	90.00	7.30	8.30	8.01	8.02			
1692	"NB-910"	12/7/2016 0:00:00		"1"	"Ebbing"	"3.9"	"4: >10"	8.43	34351.00	21.44	91.80	9.40	0.00	0.00						0.00	0.00	8.90	33888.00	21.10	89.00	9.03	0.00	0.00	8.50	34000.00	21.20	87.90	8.95	0.00	0.00	29.00	38.00	12.40	63.60					
